Subject,Class,Unit,Theme,Sub-Theme,File_Path,Book_Section_Heading,Subtopic,Summary
SAT Reading,High School,Reading for Function,Rhetorical Analysis,Function Questions,data/english/the-complete-guide-to-sat-reading_compress.txt,Reading for Function,Functions of key words and punctuation,Analyzing how words and punctuation influence meaning.
SAT Reading,High School,Reading for Function,Rhetorical Analysis,Function Questions,data/english/the-complete-guide-to-sat-reading_compress.txt,Reading for Function,Vague answers in function questions,Identifying vague options and why they are incorrect.
SAT Reading,High School,Reading for Function,Rhetorical Analysis,Function Questions,data/english/the-complete-guide-to-sat-reading_compress.txt,Reading for Function,Playing positive/negative with function questions,Assessing effect of positive/negative framing on function.
SAT Reading,High School,Reading for Function,Rhetorical Analysis,Function Questions,data/english/the-complete-guide-to-sat-reading_compress.txt,Reading for Function,Common function words and phrases,List of frequently used function words and their purpose.
SAT Reading,High School,Reading for Function,Rhetorical Analysis,Function Questions,data/english/the-complete-guide-to-sat-reading_compress.txt,Reading for Function,Reading for function exercises,Practice exercises applying function word knowledge.
SAT Reading,High School,Reading for Function,Rhetorical Analysis,Function Questions,data/english/the-complete-guide-to-sat-reading_compress.txt,Reading for Function,Glossary of function words,Glossary of key words used to determine function in passages.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Neutral tone with definite opinion,Understanding neutral statements vs. clear opinions.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Playing positive/negative with tone questions,Analyzing how positivity/negativity affects tone interpretation.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Inferring attitude from text,Techniques to determine author’s attitude from context.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Simplifying tone answers,Methods to clarify tone-based answer choices.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Register: formal vs. informal,Distinguishing between formal and informal tone in passages.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Certainty and uncertainty indicators,Identifying words that signal certainty or uncertainty in text.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,"Humor, sarcasm, and irony","Recognizing and interpreting humorous, sarcastic, or ironic tones."
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Common tone and attitude words,Key words that indicate tone or attitude in passages.
SAT Reading,High School,Tone and Attitude,Rhetorical Analysis,Tone & Attitude,data/english/the-complete-guide-to-sat-reading_compress.txt,Tone and Attitude,Tone and attitude exercises,Practice exercises for identifying tone and attitude.
SAT Reading,High School,Rhetorical Strategy,Rhetorical Analysis,Rhetorical Strategy,data/english/the-complete-guide-to-sat-reading_compress.txt,Rhetorical Strategy,Point of view analysis,Analyzing narrator or author’s perspective in passages.
SAT Reading,High School,Rhetorical Strategy,Rhetorical Analysis,Rhetorical Strategy,data/english/the-complete-guide-to-sat-reading_compress.txt,Rhetorical Strategy,Paragraph and passage organization,Understanding how structure affects meaning and argument.
SAT Reading,High School,Rhetorical Strategy,Rhetorical Analysis,Rhetorical Strategy,data/english/the-complete-guide-to-sat-reading_compress.txt,Rhetorical Strategy,Counterarguments in passages,Identifying and evaluating counterarguments presented.
SAT Reading,High School,Rhetorical Strategy,Rhetorical Analysis,Rhetorical Strategy,data/english/the-complete-guide-to-sat-reading_compress.txt,Rhetorical Strategy,Effect of rhetorical strategy,Assessing the purpose and impact of rhetorical techniques.
SAT Reading,High School,Rhetorical Strategy,Rhetorical Analysis,Rhetorical Strategy,data/english/the-complete-guide-to-sat-reading_compress.txt,Rhetorical Strategy,Rhetorical strategy exercises,Practice exercises applying rhetorical strategy analysis.
SAT Reading,High School,Paired Passages,Comparative Reading,Paired Passages,data/english/the-complete-guide-to-sat-reading_compress.txt,Paired Passages,Overview of paired passages,Introduction to paired passages and how they are structured.
SAT Reading,High School,Paired Passages,Comparative Reading,Paired Passages,data/english/the-complete-guide-to-sat-reading_compress.txt,Paired Passages,How to read paired passages,Techniques for efficient reading of paired passages.
SAT Reading,High School,Paired Passages,Comparative Reading,Paired Passages,data/english/the-complete-guide-to-sat-reading_compress.txt,Paired Passages,Relationship questions as inference questions,Approach relationship questions as inference problems.
SAT Reading,High School,Paired Passages,Comparative Reading,Paired Passages,data/english/the-complete-guide-to-sat-reading_compress.txt,Paired Passages,Paired passages and supporting evidence questions,Using evidence to support answers in paired passages.
SAT Reading,High School,Paired Passages,Comparative Reading,Paired Passages,data/english/the-complete-guide-to-sat-reading_compress.txt,Paired Passages,Agreement questions between passages,Identifying points of agreement between two passages.
SAT Reading,High School,Paired Passages,Comparative Reading,Paired Passages,data/english/the-complete-guide-to-sat-reading_compress.txt,Paired Passages,Paired passage exercises,Practice exercises for paired passage questions.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Reading graphs: finding the point and skimming,Techniques for quickly identifying key points in graphs.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Reading between the lines in graphics,Interpreting subtle or implied information in visual data.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Multiple variables in graphics,Understanding charts with more than one variable.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Backwards graphs and trick answers,Identifying tricky graphs that may mislead test-takers.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Interpreting tables,Techniques for analyzing data in table format.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Paired graphics questions,Strategies for questions involving two related graphics.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,To synthesize or not decisions,Deciding when to combine information from multiple visuals.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Graphics and extended reasoning,Applying higher-order reasoning to visual data.
SAT Reading,High School,Graphics and Data Analysis,Data Analysis,Graphics Interpretation,data/english/the-complete-guide-to-sat-reading_compress.txt,Graphics and Data Analysis,Graphics and data analysis exercises,Practice exercises for data interpretation questions.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,What the SAT Reading test measures,Overview of skills assessed on SAT Reading.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,Managing the Reading Test as a whole,Strategies for pacing and managing the entire test.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,The answer isn't always in the passage,Recognizing when answers require reasoning beyond explicit text.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,Understanding answer choices patterns,Recognizing common answer patterns and traps.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,Understanding line references,How to interpret questions referring to specific lines.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,Strategies for reading passages,General passage reading strategies for comprehension.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,Skimming effectively,Techniques for effective skimming without missing details.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,Using key words for questions without line references,Identifying keywords to locate answers when lines aren't referenced.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,How to work through questions with line references,Step-by-step approach for questions referencing specific lines.
SAT Reading,High School,Introduction to SAT Reading,Test Strategy,General Approach,data/english/the-complete-guide-to-sat-reading_compress.txt,Introduction to SAT® Reading,General tips for reading preparation,Overall tips for SAT Reading prep and practice.
SAT Reading,High School,How to Use This Book,Test Strategy,Study Plan,data/english/the-complete-guide-to-sat-reading_compress.txt,How to Use This Book,Step-by-step study approach,Structured plan for working through the book effectively.
SAT Reading,High School,How to Use This Book,Test Strategy,Study Plan,data/english/the-complete-guide-to-sat-reading_compress.txt,How to Use This Book,Identifying focus areas from diagnostic tests,Using diagnostic tests to prioritize study areas.
SAT Reading,High School,How to Use This Book,Test Strategy,Study Plan,data/english/the-complete-guide-to-sat-reading_compress.txt,How to Use This Book,Building a bridge to the actual test,Strategies for connecting practice to real SAT questions.
SAT Reading,High School,How to Use This Book,Test Strategy,Study Plan,data/english/the-complete-guide-to-sat-reading_compress.txt,How to Use This Book,Reviewing mistakes effectively,How to analyze errors for improved learning.
SAT Reading,High School,Suggested Reading,Content Knowledge,Background Resources,data/english/the-complete-guide-to-sat-reading_compress.txt,Suggested Reading,Recommended publications for SAT preparation,List of books and articles recommended for SAT prep.
SAT Reading,High School,Suggested Reading,Content Knowledge,Background Resources,data/english/the-complete-guide-to-sat-reading_compress.txt,Suggested Reading,Fiction authors to familiarize with,Important fiction authors to know for context questions.
SAT Reading,High School,Suggested Reading,Content Knowledge,Background Resources,data/english/the-complete-guide-to-sat-reading_compress.txt,Suggested Reading,Key topics and controversies in natural science,Overview of major science topics relevant for SAT reading.
SAT Reading,High School,Suggested Reading,Content Knowledge,Background Resources,data/english/the-complete-guide-to-sat-reading_compress.txt,Suggested Reading,Key topics and controversies in social science,Overview of major social science topics for context understanding.
SAT Reading,High School,Suggested Reading,Content Knowledge,Background Resources,data/english/the-complete-guide-to-sat-reading_compress.txt,Suggested Reading,Science and social science authors,Important authors in science and social science.
SAT Reading,High School,Suggested Reading,Content Knowledge,Background Resources,data/english/the-complete-guide-to-sat-reading_compress.txt,Suggested Reading,Key historical movements and figures,Historical context relevant for SAT passages.
SAT Reading,High School,Suggested Reading,Content Knowledge,Background Resources,data/english/the-complete-guide-to-sat-reading_compress.txt,Suggested Reading,Historical documents and sources,Primary sources and documents important for SAT content knowledge.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Complex Number,"Definition of complex number (z = a + ib or (a,b))",Introduction to complex numbers and their standard forms.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Complex Number,Euler’s notation for the imaginary unit (i = √-1 and i² = -1),Representation of imaginary unit using Euler’s notation.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Real and Imaginary Parts of a Complex Number,Recognizing real (Re(z)) and imaginary (Im(z)) parts,Identifying real and imaginary components of a complex number.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Real and Imaginary Parts of a Complex Number,Definition of pure imaginary and real numbers,Distinguishing pure imaginary numbers from real numbers.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Condition for the Equality of Two Complex Numbers,Condition for equality (z₁ = z₂ ⟺ x₁ = x₂ and y₁ = y₂),Criteria for two complex numbers to be equal.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Basic Algebraic Operations on Complex Numbers,"Basic algebraic operations overview,Overview of addition, subtraction, multiplication, and division of complex numbers."
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Addition of Two Complex Numbers,Addition of complex numbers (z₁ + z₂),Adding two complex numbers by summing real and imaginary parts.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Subtraction of Two Complex Numbers,Subtraction of complex numbers (z₁ - z₂),Subtracting two complex numbers by subtracting real and imaginary parts.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Product of Two Complex Numbers,Multiplication (Product) of complex numbers (z₁z₂),Multiplying complex numbers using distributive property or polar form.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Division of Complex Numbers,Division of complex numbers (rationalization using conjugate),Dividing complex numbers by multiplying numerator and denominator by the conjugate.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Conjugate of a Complex Number,Definition of complex conjugate (z̄ = x - iy),Defining the conjugate and its use in calculations.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Conjugate of a Complex Number,Geometric interpretation of the conjugate (mirror image about x-axis),Visualizing conjugate as reflection across the real axis.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Magnitude or Modulus of a Complex Number,Definition of magnitude/modulus (|z| = √(x² + y²)),Finding the distance of a complex number from the origin.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Magnitude or Modulus of a Complex Number,Geometric interpretation of modulus (distance from origin),Understanding modulus as geometric distance in the complex plane.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Magnitude or Modulus of a Complex Number,"Properties of Modulus (|z| ≥ 0, |z| = 0 ⟺ z = 0)",Key properties of the modulus for calculations and inequalities.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Real and Imaginary Parts of the Complex Numbers of the Types,"Extracting Real and Imaginary parts of zⁿ (for n = 1, -1, 2, -2)",Finding real and imaginary parts of powers of complex numbers.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Real and Imaginary Parts of the Complex Numbers of the Types,"Extracting Real and Imaginary parts of z₁/z₂ (for n = 1, -1)",Finding parts after dividing complex numbers.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Solution of Equations,Solving simultaneous linear equations with complex coefficients,Solving linear equations with complex numbers.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Solution of Equations,Solving quadratic equations by completing the square,Solving quadratic equations with complex roots.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Complex Polynomial and Factorization,"Factorizing polynomials using complex roots (e.g., z² + a²)",Factoring polynomials that have complex solutions.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Complex Polynomial and Factorization,Writing a polynomial P(z) as a product of linear factors,Expressing polynomials in terms of linear complex factors.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Polar Coordinate System,Explanation of the polar coordinate system,Introduction to polar form of complex numbers.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Polar Form and Properties,Description of the polar representation of a complex number,Expressing complex numbers in modulus-argument form.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Polar Form and Properties,Conversion between algebraic and polar form,Changing between rectangular and polar representations.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Polar Form and Properties,Applying basic operations with complex numbers in polar representation,"Performing multiplication, division in polar form."
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Polar Form and Properties,De Moivre’s theorem and its applications,Using De Moivre’s theorem for powers and roots.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Polar Form and Properties,nth roots of complex numbers,Calculating nth roots using polar form.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Polar Form and Properties,Roots of unity (geometric interpretation),Geometric understanding of roots of unity on the complex plane.
Math,HSSC 1,Complex Numbers,Mathematics,Algebra / Complex Numbers,data/math/v3-11-maths-book-2025.txt,Applications,"Applications of complex numbers (e.g., cryptography, wave phenomena, circuits)",Practical applications of complex numbers in various fields.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Introduction to Matrices,Constructing a matrix (A=(aᵢⱼ)),Defining and constructing matrices with elements.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Types of Matrices,Diagonal matrix,Introduction to diagonal matrices.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Types of Matrices,Triangular matrix (Upper and Lower),Understanding upper and lower triangular matrices.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Types of Matrices,Unit (Identity) matrix,Definition and properties of the identity matrix.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Types of Matrices,Zero matrix,Definition and properties of zero matrix.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Equality and Operations,Condition for the equality of matrices,Rules for when two matrices are equal.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Determinants of Matrices,Determinant of a 2x2 matrix,Calculating determinant for 2x2 matrices.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Determinants of Matrices,Calculating cofactors and adjoint of a matrix,Finding cofactors and adjoint to compute determinants or inverses.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Properties of Determinants,Applying row/column operations to simplify determinants,Simplifying determinant calculation using row/column operations.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Inverse of a Matrix,Calculating the inverse of a matrix,Methods to find the inverse using adjoint and determinant.
Math,HSSC 1,Matrices and Determinants,Mathematics,Algebra / Linear Algebra,data/math/v3-11-maths-book-2025.txt,Solution of Linear Systems,Solving linear systems using matrices (Cramer's Rule or Matrix Inverse Method),Solving linear equations using matrix methods.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Introduction to Sequences,Identifying sequences (Arithmetic or Geometric),Recognizing types of sequences in problems.
